$p$	             $f_{min}$	       $a$	             $b$	$c$	$d$	$e$	type	der
1.84200000000000	12.852060755915709	-0.8913365151584105	-0.8913365151584105	0.000000000000000	0.8913365151584105	0.8913365151584105	Z	-2.285513973777597
1.84300000000000	12.849775859400003	-0.891477915155857	-0.891477915155857	0.000000000000000	0.891477915155857	0.891477915155857	Z	-2.2848965157058774
1.84400000000000	12.847491582651294	-0.8916203408821831	-0.8916203408821831	0.000000000000000	0.8916203408821831	0.8916203408821831	Z	-2.2842767487085354
1.84500000000000	12.845207927965122	-0.8917620491868984	-0.8917620491868984	0.000000000000000	0.8917620491868984	0.8917620491868984	Z	-2.28365468617245
1.84600000000000	12.842924897600534	-0.8919078039312931	-0.8919078039312931	0.000000000000000	0.8919078039312931	0.8919078039312931	Z	-2.2830303645872907
1.84700000000000	12.840642493917976	-0.8920432147034749	-0.8920432147034749	0.000000000000000	0.8920432147034749	0.8920432147034749	Z	-2.2824036825588605
1.84800000000000	12.838360719136329	-0.8921892859958007	-0.8921892859958007	0.000000000000000	0.8921892859958007	0.8921892859958007	Z	-2.2817747816465617
1.84900000000000	12.83607957554811	-0.8923338150180876	-0.8923338150180876	0.000000000000000	0.8923338150180876	0.8923338150180876	Z	-2.2811435882188773
1.85000000000000	12.833799065401696	-0.892476326221062	-0.892476326221062	0.000000000000000	0.892476326221062	0.892476326221062	Z	-2.2805101464144717
1.85100000000000	12.831519190943496	-0.8926203304858931	-0.8926203304858931	0.000000000000000	0.8926203304858931	0.8926203304858931	Z	-2.279874458200022
1.85200000000000	12.8292399544281	-0.8927526543269959	-0.8927526543269959	0.000000000000000	0.8927526543269959	0.8927526543269959	Z	-2.279236515395156
1.85300000000000	12.8269613580403	-0.8929006112907985	-0.8929006112907985	0.000000000000000	0.8929006112907985	0.8929006112907985	Z	-2.278596387800287
1.85400000000000	12.824683404055252	-0.8930390852347844	-0.8930390852347844	0.000000000000000	0.8930390852347844	0.8930390852347844	Z	-2.2779539850483426
1.85500000000000	12.822406094643247	-0.8931831499268604	-0.8931831499268604	0.000000000000000	0.8931831499268604	0.8931831499268604	Z	-2.2773094120050197
1.85600000000000	12.820129432006969	-0.893325578768356	-0.893325578768356	0.000000000000000	0.893325578768356	0.893325578768356	Z	-2.2766626362782043
1.85700000000000	12.81785341835239	-0.8934649067857421	-0.8934649067857421	0.000000000000000	0.8934649067857421	0.8934649067857421	Z	-2.27601365457833
1.85800000000000	12.815578055875175	-0.8935976691226717	-0.8935976691226717	0.000000000000000	0.8935976691226717	0.8935976691226717	Z	-2.275362477215127
1.85900000000000	12.813303346708867	-0.8937460429210682	-0.8937460429210682	0.000000000000000	0.8937460429210682	0.8937460429210682	Z	-2.274709166308037
1.86000000000000	12.811029293036258	-0.8938854771638001	-0.8938854771638001	0.000000000000000	0.8938854771638001	0.8938854771638001	Z	-2.2740536726091007
1.86100000000000	12.808755897007504	-0.894024811158455	-0.894024811158455	0.000000000000000	0.894024811158455	0.894024811158455	Z	-2.2733960287537887
1.86200000000000	12.80648316078264	-0.8941618009205944	-0.8941618009205944	0.000000000000000	0.8941618009205944	0.8941618009205944	Z	-2.272736224863537
1.86300000000000	12.804211086485749	-0.894304109514056	-0.894304109514056	0.000000000000000	0.894304109514056	0.894304109514056	Z	-2.2720742968920518
1.86400000000000	12.801939676248864	-0.8944409263405213	-0.8944409263405213	0.000000000000000	0.8944409263405213	0.8944409263405213	Z	-2.271410236884565
1.86500000000000	12.79966893217133	-0.894583525757788	-0.894583525757788	0.000000000000000	0.894583525757788	0.894583525757788	Z	-2.270744077533388
1.86600000000000	12.797398856389147	-0.894719076905078	-0.894719076905078	0.000000000000000	0.894719076905078	0.894719076905078	Z	-2.2700757821831576
1.86700000000000	12.795129450985442	-0.894863453299257	-0.894863453299257	0.000000000000000	0.894863453299257	0.894863453299257	Z	-2.269405403705599
1.86800000000000	12.792860718046022	-0.894996693469734	-0.894996693469734	0.000000000000000	0.894996693469734	0.894996693469734	Z	-2.26873293941995
1.86900000000000	12.790592659662416	-0.8951373277376642	-0.8951373277376642	0.000000000000000	0.8951373277376642	0.8951373277376642	Z	-2.26805838360658
1.87000000000000	12.78832527791171	-0.8952716800078899	-0.8952716800078899	0.000000000000000	0.8952716800078899	0.8952716800078899	Z	-2.267381750705257
1.87100000000000	12.786058574842453	-0.8954114496664587	-0.8954114496664587	0.000000000000000	0.8954114496664587	0.8954114496664587	Z	-2.266703069256942
1.87200000000000	12.783792552519884	-0.8955524777831556	-0.8955524777831556	0.000000000000000	0.8955524777831556	0.8955524777831556	Z	-2.266022322568974
1.87300000000000	12.781527212986735	-0.895685647448854	-0.895685647448854	0.000000000000000	0.895685647448854	0.895685647448854	Z	-2.265339533149807
1.87400000000000	12.779262558286064	-0.895821943810795	-0.895821943810795	0.000000000000000	0.895821943810795	0.895821943810795	Z	-2.264654700670578
1.87500000000000	12.776998590424032	-0.8959619893484552	-0.8959619893484552	0.000000000000000	0.8959619893484552	0.8959619893484552	Z	-2.2639678620317842
1.87600000000000	12.774735311452698	-0.8961010764114142	-0.8961010764114142	0.000000000000000	0.8961010764114142	0.8961010764114142	Z	-2.2632789713344086
1.87700000000000	12.772472723338884	-0.896241191129858	-0.896241191129858	0.000000000000000	0.896241191129858	0.896241191129858	Z	-2.262588113813382
1.87800000000000	12.770210828125741	-0.8963751837926139	-0.8963751837926139	0.000000000000000	0.8963751837926139	0.8963751837926139	Z	-2.2618952131437102
1.87900000000000	12.767949627793687	-0.8965093456611962	-0.8965093456611962	0.000000000000000	0.8965093456611962	0.8965093456611962	Z	-2.26120033205365
1.88000000000000	12.76568912431655	-0.896647836215229	-0.896647836215229	0.000000000000000	0.896647836215229	0.896647836215229	Z	-2.2605034771372705
1.88100000000000	12.763429319677646	-0.8967847070588228	-0.8967847070588228	0.000000000000000	0.8967847070588228	0.8967847070588228	Z	-2.259804638903265
1.88200000000000	12.761170215841208	-0.8969212699237838	-0.8969212699237838	0.000000000000000	0.8969212699237838	0.8969212699237838	Z	-2.2591038364388183
1.88300000000000	12.758911814777752	-0.8970573102557098	-0.8970573102557098	0.000000000000000	0.8970573102557098	0.8970573102557098	Z	-2.258401063455398
1.88400000000000	12.756654118422665	-0.8971883572564048	-0.8971883572564048	0.000000000000000	0.8971883572564048	0.8971883572564048	Z	-2.257696355087795
